"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","un homme","depuis la nuit des temps","deux fois par mois","pas terrible","bien","mauvais","pas terrible","bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","tofu, tofu lactofermenté, yaourt de soja, choix de riz, choix legumineuses, litre sauce soja, farnine complète, seigle","un grand super cafoutch","oui","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","X","","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","entre 6 mois et un an","jamais","","","","","","","","","","","","","","","","","","non","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","je n'ai jamais fait de créneau","","","X","","","","","X","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","j'aurais aimé en savoir plus sur les renoncements du projet Colbert, des salariés... l"
"entre 30 et 40 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","oui","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","X","","","","","","","","","X","X","","","","","","","","","","","","","","","","X","","","X","","","oui","","","","","","","non","","X","","","","","","","non","oui","","","","","","X","","","laura.march@yahoo.fr","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","auto-entrepreneu.r.se","une femme","depuis la nuit des temps","deux fois par mois","bien","pas terrible","pas terrible","pas terrible","bien","bien","très bien","très bien","bien","bien","bien","pas terrible","bien","bien","bien","plus de choix de thé noir, ","","oui","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","X","","X","","X","X","X","X","X","","","","X","X","","X","X","","X","X","","X","X","","X","X","","","","","","","oui","","","","","","","non","","X","","","X","je n'étais pas disponible quand il avait lieu","","","non","oui","X","X","X","X","","","","","ccarollliinee@gmail.com","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","deux fois par mois","bien","bien","très bien","bien","bien","très bien","très bien","très bien","pas terrible","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","bien","Spiruline (voir Martin Petitjean Spiruline de la cote bleue, référencé sur la toile)","Tout y est sauf quelques produits mais on sait que ça viendra ! il y a d'abord de l'amour, puis de l'amour et de l'humour !","non","","X","X","X","X","X","","","","","X","X","X","","X","","X","X","X","X","X","X","X","X","X","","","","je n'ai jamais fait de créneau","","","","","","X","je viens de m'inscrire depuis votre fameux festivaaaaal !!","","","","","","","X","X","X","X","X","","","","","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","","","","oui","","","","","","","oui","","","","","","","l'organisation, l'encadrement et la convivialité.","pour les infos des emails, contacts ,adresses web, peut-etre laisser un slide ouvert sur le mur lorsque l'on papote sur autre ch","non","oui","X","X","X","X","","","","X","pepin.paysages@gmail.com","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","Meet-up Atelier Kombusha/kefir pour ceux qui n'ont pas pu venir, et même pour ceux qui ne font pas parti du super-cafoutch.","oui","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","bien","bien","bien","pas terrible","bien","bien","très bien","très bien","bien","bien","bien","pas terrible","bien","bien","bien","Crème soja liquide","","oui","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","X","X","","","","une fois par mois","","","","","","","","X","X","","","","","","","","","X","","","","","","","","","","","","","","","","","X","X","X","","","","oui","","","","","","","oui","","","","","","","l'occasion de voir plus de coopérateurs. Les échanges.","","non","oui","X","X","","","","","","","coline7@free.fr","oui tout à fait","un parrain/une marraine","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","bien","très bien","bien","très bien","très bien","très bien","bien","très bien","bien","bien","très bien","bien","bien","très bien","très bien","Kéfir, hepar ou équivalent ","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","bien","très bien","très bien","très bien","bien","très bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","bien","bien","pas terrible","bien","très bien","très bien","très bien","très bien","très bien","bien","très bien","bien","bien","très bien","très bien","","","oui","","X","","X","","","","","","","","","X","","","","","","X","","","","","","","","","","moins d'une fois par mois","","","","","","","","","X","","","","X","X","","X","","","","","","X","","","X","","","","","","X","","","","","","","","","","oui","","","","","","","non","","","","","X","Je n'aime pas les réunions.","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","depuis la nuit des temps","une fois par mois","bien","pas terrible","bien","très bien","très bien","bien","très bien","très bien","bien","bien","bien","pas terrible","bien","bien","bien","","Peut-être un peu plus de fruits et légumes frais et pas trop cher !","oui","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","","","","","une fois par mois","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","très bien","très bien","pas d'avis","pas d'avis","très bien","très bien","très bien","très bien","","","","C'est super ce que vous faites ! Je n'ai malheureusement pas le temps de m'impliquer davantage. Mais vive le Cafoutch !"
"entre 20 et 30 ans","étudiant.e","une femme","depuis la nuit des temps","une fois par semaine","très bien","très bien","bien","bien","très bien","bien","très bien","très bien","très bien","bien","très bien","bien","très bien","bien","pas terrible","Maquillage éco-responsable ","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","X","","X","","X","X","","","","","","X","","","","","","X","","","","X","X","X","X","X","X","oui","","","","","","","non","","","","","X","Je n'ai pas encore pris le temps mais ça m'intéresse","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","auto-entrepreneu.r.se","une femme","entre 6 mois et un an","une fois par semaine","bien","bien","bien","pas terrible","bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","bien","bien","plus de produits pour les vegetariens, alternatives a la viande","ouvrir plus souvent... il est fermé ma plupart du temps quand je viens","non","X","","X","","X","X","","X","","X","","","","X","","X","","","","X","","X","X","","X","","","","je n'ai jamais fait de créneau","","","X","","","","","","X","X","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","non","X","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","étudiant.e","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","très bien","très bien","bien","très bien","bien","bien","très bien","très bien","bien","bien","bien","bien","bien","bien","","","oui","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","une fois par mois","","","","","","","","X","","","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","non","X","","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","deux fois par mois","bien","très bien","très bien","bien","bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","","","oui","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","X","X","","X","","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","","","","","","oui","","","","","","","non","","","","X","","","","","non","oui","","","","","","X","","","martingrog@gmail.com","un peu","Un fascicule / pdf qui résume tout, et des contacts pour leDifférents services ou pour des questions.","je ne savais pas que ça existait mais ça m’intéresse","bien","bien","bien","bien","bien","bien","pas d'avis","pas d'avis","","","","Réfléchir sur l’organisation."
"entre 30 et 40 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","pas terrible","pas d'avis","pas terrible","bien","pas terrible","très bien","très bien","bien","bien","très bien","bien","pas terrible","très bien","pas terrible","Des shampoings solides de plusieurs sortes et moins cher","Essayer de s inspirer de ce que fait les Toqués du Bocal. Nettoyer mieux la boutique","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","X","","","X","X","","","","","","","","","","X","","","X","","","","","","","","","","","","","oui","","","","","","","non","","","","X","","","","","non","oui","X","","","","","","X","","laura.leroy.emlyon@gmail.com","un peu","Ne pas forcer la main sur  le paiement des 100e","j’y ai déjà accès","bien","pas terrible","bien","très bien","très bien","bien","pas terrible","très bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","bien","très bien","bien","bien","très bien","bien","très bien","très bien","bien","bien","très bien","bien","bien","très bien","bien","produits ménagers en vrac","","oui","","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","une fois par mois","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","X","X","","oui","","","","","","","non","","","","","X","il n'y a eu qu'un forum depuis que j'ai adhéré et je n'étais pas disponible mais je viendrai au prochain","","","non","oui","","X","","","X","","","","jonca.veronique@neuf.fr","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 40 et 50 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","jamais","","","","","","","","","","","","","","","","","","oui","X","","","","X","","","X","","","","","","","","","","","","X","","","","","","","","","je n'ai jamais fait de créneau","","","","","","X","Confinement","","","","X","","","","","X","","","","","","","","","","","","","","X","","","","","","","","","","","non","X","","","","","","non","","","X","","","","","L'approvisionnement","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","","     "
